,0
1860,A
1861,H
1862,H
1863,H
1864,A
1865,H
1866,H
1867,H
1868,H
1869,A
1870,A
1871,A
1872,H
1873,H
1874,H
1875,H
1876,A
1877,H
1878,H
1879,H
1880,A
1881,H
1882,H
1883,H
1884,H
1885,H
1886,H
1887,H
1888,A
1889,H
1890,H
1891,H
1892,H
1893,H
1894,H
1895,H
1896,A
1897,A
1898,H
1899,A
1900,A
1901,A
1902,A
1903,A
1904,H
1905,H
1906,H
1907,H
1908,H
1909,H
1910,H
1911,H
1912,H
1913,H
1914,H
1915,H
1916,A
1917,H
1918,H
1919,H
1920,A
1921,A
1922,H
1923,A
1924,H
1925,A
1926,A
1927,A
1928,A
1929,H
1930,H
1931,H
1932,A
1933,A
1934,A
1935,A
1936,H
1937,H
1938,H
1939,A
1940,A
1941,H
1942,H
1943,H
1944,H
1945,A
1946,H
1947,A
1948,A
1949,H
1950,H
1951,H
1952,H
1953,H
1954,H
1955,H
1956,H
1957,H
1958,A
1959,H
1960,A
1961,H
1962,A
1963,H
1964,A
1965,A
1966,A
1967,H
1968,H
1969,H
1970,H
1971,H
1972,A
1973,A
1974,H
1975,H
1976,H
1977,H
1978,H
1979,A
1980,A
1981,H
1982,H
1983,A
1984,H
1985,H
1986,A
1987,H
1988,H
1989,A
1990,H
1991,H
1992,A
1993,H
1994,H
1995,H
1996,A
1997,H
1998,A
1999,A
2000,A
2001,A
2002,A
2003,A
2004,A
2005,H
2006,A
2007,H
2008,H
2009,H
2010,A
2011,A
2012,H
2013,H
2014,H
2015,A
2016,H
2017,A
2018,H
2019,H
2020,H
2021,H
2022,H
2023,H
2024,H
2025,H
2026,A
2027,A
2028,H
2029,A
2030,H
2031,H
2032,A
2033,H
2034,H
2035,H
2036,A
2037,A
2038,H
2039,H
2040,H
2041,H
2042,H
2043,H
2044,H
2045,A
2046,H
2047,H
2048,H
2049,A
2050,A
2051,H
2052,H
2053,H
2054,H
2055,A
2056,H
2057,H
2058,H
2059,H
2060,A
2061,H
2062,A
2063,A
2064,H
2065,H
2066,H
2067,A
2068,A
2069,H
2070,H
2071,A
2072,A
2073,H
2074,H
2075,A
2076,A
2077,A
2078,H
2079,H
2080,H
2081,H
2082,H
2083,A
2084,A
2085,H
2086,A
2087,A
2088,A
2089,A
2090,A
2091,H
2092,A
2093,H
2094,H
2095,H
2096,A
2097,A
2098,A
2099,A
2100,A
2101,H
2102,A
2103,A
2104,H
2105,H
2106,A
2107,H
2108,A
2109,A
2110,H
2111,A
2112,H
2113,A
2114,A
2115,H
2116,H
2117,H
2118,H
2119,H
2120,A
2121,A
2122,H
2123,H
2124,A
2125,H
2126,H
2127,H
2128,H
2129,H
2130,H
2131,H
2132,H
2133,H
2134,H
2135,H
2136,H
2137,H
2138,H
2139,A
2140,H
2141,A
2142,H
2143,A
2144,H
2145,H
2146,H
2147,H
2148,A
2149,H
2150,H
2151,A
2152,H
2153,A
2154,A
2155,A
2156,H
2157,A
2158,H
2159,H
2160,A
2161,H
2162,H
2163,H
2164,H
2165,A
2166,H
2167,H
2168,H
2169,H
2170,H
2171,H
2172,A
2173,A
2174,H
2175,A
2176,A
2177,A
2178,H
2179,H
2180,H
2181,H
2182,H
2183,A
2184,A
2185,A
2186,A
2187,A
2188,H
2189,H
2190,H
2191,A
2192,H
2193,A
2194,H
2195,H
2196,H
2197,A
2198,H
2199,A
2200,H
2201,H
2202,H
2203,A
2204,A
2205,A
2206,H
2207,A
2208,H
2209,H
2210,A
2211,H
2212,H
2213,A
2214,A
2215,H
2216,H
2217,A
2218,H
2219,H
2220,A
2221,H
2222,H
2223,A
2224,H
2225,H
2226,A
2227,H
2228,A
2229,H
2230,A
2231,A
2232,H
2233,H
2234,H
2235,H
2236,H
2237,A
2238,H
2239,A
2240,H
2241,H
2242,A
2243,H
2244,H
2245,H
2246,H
2247,H
2248,A
2249,H
2250,H
2251,A
2252,H
2253,H
2254,H
2255,H
2256,A
2257,A
2258,H
2259,A
2260,A
2261,H
2262,H
2263,H
2264,H
2265,H
2266,H
2267,A
2268,H
2269,A
2270,H
2271,A
2272,H
2273,A
2274,A
2275,A
2276,H
2277,H
2278,A
2279,A
2280,H
2281,H
2282,H
2283,H
2284,A
2285,A
2286,H
2287,H
2288,H
2289,H
2290,H
2291,H
2292,A
2293,A
2294,H
2295,H
2296,A
2297,A
2298,A
2299,H
2300,H
2301,H
2302,H
2303,A
2304,H
2305,A
2306,H
2307,A
2308,H
2309,H
2310,H
2311,H
2312,H
2313,A
2314,H
2315,H
2316,H
2317,H
2318,H
2319,A
2320,A
2321,A
2322,H
2323,H
2324,A
2325,A
2326,H
2327,A
2328,H
2329,A
2330,A
2331,H
2332,H
2333,H
2334,A
2335,A
2336,H
2337,H
2338,A
2339,H
2340,A
2341,A
2342,H
2343,A
2344,A
2345,H
2346,A
2347,H
2348,H
2349,H
2350,H
2351,H
2352,A
2353,A
2354,H
2355,H
2356,H
2357,H
2358,A
2359,H
2360,H
2361,A
2362,H
2363,A
2364,H
2365,A
2366,H
2367,H
2368,H
2369,H
2370,A
2371,H
2372,H
2373,A
2374,H
2375,A
2376,H
2377,A
2378,H
2379,A
2380,A
2381,A
2382,A
2383,A
2384,H
2385,A
2386,H
2387,H
2388,H
2389,A
2390,A
2391,H
2392,H
2393,H
2394,A
2395,A
2396,H
2397,A
2398,H
2399,H
2400,H
2401,A
2402,A
2403,H
2404,H
2405,A
2406,H
2407,A
2408,H
2409,A
2410,H
2411,H
2412,H
2413,A
2414,A
2415,H
2416,A
2417,H
2418,H
2419,A
2420,H
2421,H
2422,H
2423,H
2424,A
2425,H
2426,H
2427,A
2428,A
2429,H
2430,H
2431,H
2432,H
2433,A
2434,H
2435,A
2436,H
2437,H
2438,A
2439,A
2440,H
2441,A
2442,H
2443,H
2444,H
2445,H
2446,H
2447,H
2448,A
2449,H
2450,H
2451,H
2452,H
2453,A
2454,H
2455,H
2456,H
2457,H
2458,H
2459,H
2460,A
2461,A
2462,H
2463,H
2464,H
2465,H
2466,H
2467,H
2468,A
2469,H
2470,H
2471,H
2472,A
2473,H
2474,H
2475,H
2476,H
2477,H
2478,H
2479,H
2480,H
2481,A
2482,H
2483,A
2484,H
2485,H
2486,H
2487,H
2488,A
2489,A
2490,H
2491,H
2492,H
2493,A
2494,H
2495,H
2496,A
2497,A
2498,A
2499,H
2500,H
2501,H
2502,H
2503,H
2504,A
2505,A
2506,A
2507,H
2508,H
2509,A
2510,H
2511,H
2512,A
2513,H
2514,H
2515,H
2516,H
2517,H
2518,A
2519,H
2520,H
2521,H
2522,H
2523,H
2524,H
2525,A
2526,A
2527,A
2528,H
2529,A
2530,A
2531,A
2532,A
2533,A
2534,H
2535,H
2536,H
2537,H
2538,H
2539,H
2540,H
2541,H
2542,A
2543,H
2544,H
2545,H
2546,H
2547,H
2548,H
2549,H
2550,H
2551,A
2552,H
2553,H
2554,H
2555,H
2556,A
2557,H
2558,H
2559,H
2560,H
2561,H
2562,A
2563,A
2564,A
2565,H
2566,H
2567,A
2568,H
2569,H
2570,H
2571,A
2572,H
2573,A
2574,A
2575,A
